datum,dag,tijd,team,tegenstander,veld,wedstrijdnummer,scheidsrechter,opmerking,locatie
2026-04-03,VR,19:30,Neptunus - MS-1,Urban 010 - MS-1,D1,474818,Ard,,thuis
2026-04-03,VR,19:30,Neptunus - MH-4,Zwijndrecht - MH-3,D2,482858,Henk,,thuis
2026-04-04,ZA,14:00,Neptunus Tridents H2,Brasschaat Braves,Stadion,oefen,,,thuis
2026-04-04,ZA,10:00,Neptunus - MHU15-1,Hoofddorp Pioniers - MHU15-1,D1,482392,MHU21-1,,thuis
2026-04-04,ZA,13:00,Neptunus - MHU12-3,The Hawks - MHU12-2,D1,485040,VS-3,,thuis
2026-04-04,ZA,10:00,Rotterdam Unicorns - MHU21-1,Diamonds Amsterdam - MHU21-1,D2,452535,,,thuis
2026-04-04,ZA,12:30,Rotterdam Unicorns - MHU21-1,Diamonds Amsterdam - MHU21-1,D2,452547,,,thuis
2026-04-04,ZA,10:00,Rotterdam Unicorns - MHU15-1,Diamonds Amsterdam - MHU15-1,D3,452584,,,thuis
2026-04-04,ZA,12:00,Rotterdam Unicorns - MHU15-1,Diamonds Amsterdam - MHU15-1,D3,452596,,,thuis
2026-04-05,ZO,10:00,Neptunus - MHU12-1,Amsterdam Pirates - MHU12-1,D1,477893,MHU15-1,,thuis
2026-04-05,ZO,11:25,Neptunus - MHU12-1,Amsterdam Pirates - MHU12-1,D1,477965,MHU15-1,,thuis
2026-04-05,ZO,14:00,Neptunus - VS-2,Adegeest - VS-1,D1,473995,MHU21-1,,thuis
2026-04-05,ZO,10:00,Neptunus - MHU21-1,Kinheim - MHU21-1,D2,475758,MH-3,,thuis
2026-04-05,ZO,14:00,Neptunus - MH-3,Blue Birds - MH-2,D2,472118,MH-4,,thuis
2026-04-11,ZA,12:00,Neptunus - MH-1,Twins - MH-1,Stadion,451763,,,thuis
2026-04-11,ZA,14:30,Neptunus - MH-1,Twins - MH-1,Stadion,451766,,,thuis
2026-04-11,ZA,9:30,Neptunus - MBeeBallU12-2,Saints - MBeeBallU12-1,D3,480446,,,thuis
2026-04-12,ZO,14:00,Neptunus Tridents H2,DSS H1,Stadion,oefen,,,thuis
2026-04-12,ZO,10:00,Neptunus - MHU15-2,The Braves - MHU15-1,D1,477032,MH-3,,thuis
2026-04-12,ZO,12:30,Neptunus - MHU12-2,The Braves - MHU12-1,D1,478195,MHU15-2,,thuis
2026-04-12,ZO,10:00,Neptunus - MBeeBallU12-3,Zwijndrecht - MBeeBallU12-2,D3,480671,,,thuis
2026-04-14,DI,20:00,Neptunus - VS-3,Catch - VS-2,D1,480935,VS-2,,thuis
2026-04-16,DO,19:30,Neptunus - MH-1,HCAW - MH-1,Stadion,451769,,,thuis
2026-04-17,VR,19:30,Neptunus - MH-2,RCH-Pinguins - MH-1,Stadion,451907,,,thuis
2026-04-17,VR,19:30,Neptunus - MS-1,Vlaardingen Holy - MS-3,D1,474824,Ard,,thuis
2026-04-17,VR,19:30,Neptunus - MH-4,Blue Hitters - MH-1,D2,482870,Henk,,thuis
2026-04-18,ZA,14:00,Neptunus - VS-1,Sparks Haarlem - VS-1,D1,452220,,,thuis
2026-04-18,ZA,16:10,Neptunus - VS-1,Sparks Haarlem - VS-1,D1,452251,,,thuis
2026-04-18,ZA,10:00,Neptunus - MBeeBallU12-1,Zwijndrecht - MBeeBallU12-1,D3,480448,,,thuis
2026-04-18,ZA,11:30,Neptunus - MHU12-3,Saints - MHU12-1,D3,478889,MHU15-1,,thuis
2026-04-19,ZO,10:30,Neptunus - VS-2,Euro Stars - VS-1,D1,474003,MS-1,,thuis
2026-04-19,ZO,14:00,Neptunus - VSU21-1,UVV - VSU21-1,D1,479253,bond,,thuis
2026-04-19,ZO,15:50,Neptunus - VSU21-1,UVV - VSU21-1,D1,479309,bond,,thuis
2026-04-19,ZO,10:00,Neptunus - MHU21-1,Jeka - MHU21-1,D2,475768,MH-3,,thuis
2026-04-25,ZA,12:00,Neptunus - MH-1,Hoofddorp Pioniers - MH-1,Stadion,451780,,,thuis
2026-04-25,ZA,14:30,Neptunus - MH-1,Hoofddorp Pioniers - MH-1,Stadion,451783,,,thuis
2026-04-25,ZA,14:00,Neptunus - VS-1,Tex Town Tigers - VS-1,D1,452225,,,thuis
2026-04-25,ZA,16:10,Neptunus - VS-1,Tex Town Tigers - VS-1,D1,452255,,,thuis
2026-04-25,ZA,10:00,Rotterdam Unicorns - MHU21-1,Kennemerland Rabbits - MHU21-1,D2,475644,,,thuis
2026-04-25,ZA,12:30,Rotterdam Unicorns - MHU21-1,Kennemerland Rabbits - MHU21-1,D2,475645,,,thuis
2026-04-25,ZA,10:00,Rotterdam Unicorns - MHU15-1,Kennemerland Rabbits - MHU15-1,D3,475664,,,thuis
2026-04-25,ZA,12:30,Rotterdam Unicorns - MHU15-1,Kennemerland Rabbits - MHU15-1,D3,475665,,,thuis
2026-04-26,ZO,14:00,Neptunus - MH-2,Euro Stars - MH-1,Stadion,451979,,,thuis
2026-04-30,DO,19:30,Neptunus - MH-1,UVV - MH-1,Stadion,451786,,,thuis
2026-05-01,VR,19:30,Neptunus - MH-2,DSS - MH-1,Stadion,451919,,,thuis
